cell_id,vitmae_leiden_macs,Has_DE_Genes
aphlgpog-1,13,True
apiddlmo-1,13,True
apiioipg-1,13,True
apjamabo-1,10,True
apjbebpg-1,13,True
apjfdcbk-1,10,True
apjgeaeg-1,10,True
apjidbfn-1,13,True
apjojofp-1,10,True
aplahkdj-1,3,False
aplcadbm-1,13,True
aplcknpk-1,3,False
aplnbjam-1,13,True
aplnfhoa-1,13,True
aplnhpof-1,10,True
apmdafgi-1,13,True
apmeecjo-1,13,True
apmefofj-1,3,False
apndokab-1,13,True
apobeolp-1,13,True
apobifoo-1,3,False
apobmnll-1,13,True
appgajio-1,10,True
appiogbf-1,10,True
appjlhof-1,10,True
baapgine-1,10,True
baappncl-1,10,True
babbdblk-1,10,True
babbfbka-1,6,False
babcikof-1,13,True
babdijga-1,13,True
babdkndj-1,1,True
babkpmad-1,10,True
bablpdle-1,10,True
baboconp-1,10,True
badhbmje-1,13,True
baenalnm-1,10,True
baenciae-1,3,False
baengeck-1,3,False
baenmikc-1,3,False
bagdfnjb-1,4,True
baidhfid-1,13,True
bailenbm-1,13,True
bamhceae-1,3,False
bamklpjg-1,3,False
bampehga-1,3,False
baooljai-1,10,True
bapeffdc-1,10,True
bapkhjjp-1,10,True
bbadnice-1,10,True
bbajdnfp-1,13,True
bbbdiljg-1,13,True
bbbefjkd-1,13,True
bbbmaloa-1,13,True
bbcdbcag-1,10,True
bbcmdejd-1,10,True
bbcmkagp-1,10,True
bbefefpd-1,10,True
bbfchfop-1,13,True
bbfchioc-1,13,True
bbfijnjd-1,10,True
bbgcfjam-1,10,True
bbgflaee-1,13,True
bbglhgpd-1,13,True
bbhmibig-1,10,True
bbhpbedl-1,10,True
bbieapik-1,13,True
bbigofcf-1,13,True
bbiigabk-1,10,True
bbindljo-1,13,True
bbinfblh-1,13,True
bbinhjee-1,13,True
bbinhmfo-1,13,True
bbjagjhp-1,13,True
bbjdnggn-1,10,True
bbjfiehm-1,6,False
bbjfpojf-1,10,True
bbjgghcb-1,13,True
bbjkcfme-1,13,True
bbkkmajo-1,13,True
bblcbjmj-1,13,True
bblcdnki-1,13,True
bblcelin-1,13,True
bblelmjg-1,10,True
bblfbddb-1,13,True
bblhoofh-1,10,True
bbliijij-1,10,True
bbljgjfg-1,10,True
bbmgjhoo-1,13,True
bbmhbogm-1,13,True
bbmkjlhm-1,10,True
bbmnklbf-1,13,True
bbnibmgm-1,10,True
