cell_id,vitmae_leiden_macs
mepkbkfm-1,2
mfalcdkn-1,2
mfaogfom-1,3
mfcmfkdl-1,2
mfgehhjj-1,2
mfhdllkd-1,4
mfhkonhc-1,1
mfielnij-1,4
mfiomdkn-1,2
mfkpelim-1,5
mfmljkga-1,2
mfnnjigg-1,3
mfocfhgp-1,2
mfolfodf-1,2
mfopcpdi-1,4
mgakcklp-1,1
mgalmbcg-1,2
mgdakbdj-1,1
mgeocihg-1,2
mghcojhn-1,2
mghockkh-1,2
mgilfkdc-1,2
mgjcppao-1,4
mgldlfep-1,4
mgmejmnf-1,2
mgmijgen-1,2
mgmkloln-1,2
mgmmdnko-1,3
mgnccoap-1,4
mhadeemi-1,2
mhamliep-1,2
mhamnklp-1,2
mhanhijo-1,4
mhcajbgl-1,3
mhcalpjm-1,4
mheclnbh-1,2
mheeadoh-1,2
mhenjdmd-1,6
mhgpkkcm-1,1
mhmiahlb-1,2
mhnokjni-1,1
mialikoi-1,5
mihdopde-1,1
mihnikob-1,1
mjkjlbnk-1,4
mlpbgpam-1,8
mmafficg-1,4
mmklikcm-1,6
mmlolfco-1,3
mmmdnndh-1,1
